artist,title,sanitized_title,title_signature,top_position,first_week
ASH,SHINING LIGHT,SHINING LIGHT,"(7, 5)",8,2001-02-04
ASH,SOMETIMES,SOMETIMES,"(9,)",21,2001-07-15
ASH,STARCROSSED,STARCROSSED,"(11,)",22,2004-07-25
ASH,THERE'S A STAR,THERES A STAR,"(6, 1, 4)",13,2002-01-06
ASH,WILD SURF,WILD SURF,"(4, 4)",31,1998-11-29
ASH,YOU CAN'T HAVE IT ALL,YOU CANT HAVE IT ALL,"(3, 4, 4, 2, 3)",16,2007-04-22
ASHA,J.J. TRIBUTE,JJ TRIBUTE,"(2, 7)",38,1995-07-02
ASHANTI,DON'T LET THEM,DONT LET THEM,"(4, 3, 4)",38,2005-06-12
ASHANTI,FOOLISH,FOOLISH,"(7,)",4,2002-07-14
ASHANTI,HAPPY,HAPPY,"(5,)",13,2002-11-17
ASHANTI,ONLY U,ONLY U,"(4, 1)",2,2005-01-30
ASHANTI,RAIN ON ME,RAIN ON ME,"(4, 2, 2)",19,2003-10-26
ASHANTI,ROCK WIT U (AWWW BABY),ROCK WIT U,"(4, 3, 1)",7,2003-06-22
ASHE,MORAL OF THE STORY,MORAL OF THE STORY,"(5, 2, 3, 5)",31,2020-02-28
ASHER ROTH,I LOVE COLLEGE,I LOVE COLLEGE,"(1, 4, 7)",26,2009-03-29
ASHFORD AND SIMPSON,SOLID,SOLID,"(5,)",3,1985-01-13
ASHLEE SIMPSON,BOYFRIEND,BOYFRIEND,"(9,)",12,2006-02-05
ASHLEE SIMPSON,LA LA,LA LA,"(2, 2)",11,2005-01-30
ASHLEE SIMPSON,OUTTA MY HEAD,OUTTA MY HEAD,"(5, 2, 4)",24,2008-04-27
ASHLEE SIMPSON,PIECES OF ME,PIECES OF ME,"(6, 2, 2)",4,2004-10-03
ASHLEY HAMILTON,WIMMIN',WIMMIN,"(6,)",27,2003-06-08
ASHNIKKO,DAISY,DAISY,"(5,)",24,2020-10-02
"ASHTON, GARDNER AND DYKE",RESURRECTION SHUFFLE,RESURRECTION SHUFFLE,"(12, 7)",3,1971-01-17
ASIA,DON'T CRY,DONT CRY,"(4, 3)",33,1983-08-14
ASIAN DUB FOUNDATION,BUZZIN',BUZZIN,"(6,)",31,1998-04-26
ASSEMBLY,NEVER NEVER,NEVER NEVER,"(5, 5)",4,1983-11-06
ASSOCIATES,18 CARAT LOVE AFFAIR/LOVE HANGOVER,18 CARAT LOVE AFFAIRLOVE HANGOVER,"(2, 5, 4, 10, 8)",21,1982-08-01
ASSOCIATES,CLUB COUNTRY,CLUB COUNTRY,"(4, 7)",13,1982-05-02
ASSOCIATES,PARTY FEARS TWO,PARTY FEARS TWO,"(5, 5, 3)",9,1982-02-28
ASSOCIATIONS,TIME FOR LIVIN',TIME FOR LIVIN,"(4, 3, 5)",23,1968-05-22
ASTON MERRYGOLD,GET STUPID,GET STUPID,"(3, 6)",28,2015-07-31
ASWAD,BEAUTY'S ONLY SKIN DEEP,BEAUTYS ONLY SKIN DEEP,"(7, 4, 4, 4)",31,1989-04-02
ASWAD,DON'T TURN AROUND,DONT TURN AROUND,"(4, 4, 6)",1,1988-02-28
ASWAD,GIVE A LITTLE LOVE,GIVE A LITTLE LOVE,"(4, 1, 6, 4)",11,1988-05-22
ASWAD,NEXT TO YOU,NEXT TO YOU,"(4, 2, 3)",24,1990-08-19
ASWAD,ON AND ON,ON AND ON,"(2, 3, 2)",25,1989-07-30
ASWAD,SHINE,SHINE,"(5,)",5,1994-06-12
ASWAD,WARRIORS,WARRIORS,"(8,)",33,1994-09-11
ASWAD,YOU'RE NO GOOD,YOURE NO GOOD,"(5, 2, 4)",35,1995-02-12
ATB,9PM (TILL I COME),9PM,"(3,)",1,1999-06-27
ATB,DON'T STOP,DONT STOP,"(4, 4)",3,1999-10-17
ATB,KILLER,KILLER,"(6,)",4,2000-03-19
ATB,LET U GO,LET U GO,"(3, 1, 2)",34,2001-06-24
ATB FT YORK,THE FIELDS OF LOVE,THE FIELDS OF LOVE,"(3, 6, 2, 4)",16,2001-01-21
ATB/TOPIC/A7S,YOUR LOVE (9PM),YOUR LOVE,"(4, 4)",8,2021-02-12
ATC,AROUND THE WORLD,AROUND THE WORLD,"(6, 3, 5)",15,2002-08-11
ATFC FT LISA MILLETT,SLEEP TALK,SLEEP TALK,"(5, 4)",33,2002-02-03
ATFC PTS ONE PHAT DEEVA,BAD HABIT,BAD HABIT,"(3, 5)",17,2000-09-10
ATHLETE,EL SALVADOR,EL SALVADOR,"(2, 8)",31,2003-03-30
ATHLETE,HALF LIGHT,HALF LIGHT,"(4, 5)",16,2005-05-01
ATHLETE,HURRICANE,HURRICANE,"(9,)",31,2007-08-19
ATHLETE,WIRES,WIRES,"(5,)",4,2005-01-23
ATHLETE,YOU GOT THE STYLE,YOU GOT THE STYLE,"(3, 3, 3, 5)",37,2002-06-23
ATL,CALLING ALL GIRLS,CALLING ALL GIRLS,"(7, 3, 5)",12,2004-05-23
ATL,MAKE IT UP WITH LOVE,MAKE IT UP WITH LOVE,"(4, 2, 2, 4, 4)",21,2004-08-22
ATLANTIC OCEAN,BODY IN MOTION,BODY IN MOTION,"(4, 2, 6)",15,1994-06-26
ATLANTIC OCEAN,WATERFALL,WATERFALL,"(9,)",21,1994-02-13
ATLANTIC STARR,ALWAYS,ALWAYS,"(6,)",3,1987-06-14
ATLANTIC STARR,EVERYBODY'S GOT SUMMER,EVERYBODYS GOT SUMMER,"(10, 3, 6)",36,1994-08-21
ATLANTIC STARR,SECRET LOVERS,SECRET LOVERS,"(6, 6)",10,1986-03-16
ATOMIC KITTEN,CRADLE,CRADLE,"(6,)",10,2005-02-20
ATOMIC KITTEN,ETERNAL FLAME,ETERNAL FLAME,"(7, 5)",1,2001-07-29
ATOMIC KITTEN,FOLLOW ME,FOLLOW ME,"(6, 2)",20,2000-10-15
ATOMIC KITTEN,I WANT YOUR LOVE,I WANT YOUR LOVE,"(1, 4, 4, 4)",10,2000-07-09
ATOMIC KITTEN,IF YOU COME TO ME,IF YOU COME TO ME,"(2, 3, 4, 2, 2)",3,2003-11-02
ATOMIC KITTEN,IT'S OK,ITS OK,"(3, 2)",3,2002-05-26
ATOMIC KITTEN,LADIES NIGHT,LADIES NIGHT,"(6, 5)",8,2003-12-21
ATOMIC KITTEN,LAST GOODBYE/BE WITH YOU,LAST GOODBYEBE WITH YOU,"(4, 9, 4, 3)",2,2002-12-01
ATOMIC KITTEN,LOVE DOESN'T HAVE TO HURT,LOVE DOESNT HAVE TO HURT,"(4, 6, 4, 2, 4)",4,2003-04-06
ATOMIC KITTEN,RIGHT NOW,RIGHT NOW,"(5, 3)",10,1999-12-05
ATOMIC KITTEN,SEE YA,SEE YA,"(3, 2)",6,2000-04-02
ATOMIC KITTEN,SOMEONE LIKE ME/RIGHT NOW 2004,SOMEONE LIKE MERIGHT NOW 2004,"(7, 4, 7, 3, 4)",8,2004-04-04
ATOMIC KITTEN,SOUTHGATE YOU'RE THE ONE (FOOTBALL'S,SOUTHGATE YOURE THE ONE FOOTBALLS,"(9, 5, 3, 3, 9)",14,2021-07-16
ATOMIC KITTEN,THE TIDE IS HIGH (GET THE FEELING),THE TIDE IS HIGH,"(3, 4, 2, 4)",1,2002-09-01
ATOMIC KITTEN,WHOLE AGAIN,WHOLE AGAIN,"(5, 5)",1,2001-02-04
ATOMIC ROOSTER,DEVIL'S ANSWER,DEVILS ANSWER,"(6, 6)",4,1971-07-04
ATOMIC ROOSTER,TOMORROW NIGHT,TOMORROW NIGHT,"(8, 5)",11,1971-01-31
AU/RA & CAMELPHAT,PANIC ROOM,PANIC ROOM,"(5, 4)",30,2018-07-13
AUDIENCE,A PESSIMIST IS NEVER DISAPPOINTED,A PESSIMIST IS NEVER DISAPPOINTED,"(1, 9, 2, 5, 12)",27,1998-05-17
AUDIENCE,I KNOW ENOUGH (I DON'T GET ENOUGH),I KNOW ENOUGH,"(1, 4, 6)",25,1998-08-02
AUDIO BULLYS,I'M IN LOVE,IM IN LOVE,"(2, 2, 4)",27,2005-10-30
AUDIO BULLYS,THE THINGS/TURNED AWAY,THE THINGSTURNED AWAY,"(3, 12, 4)",22,2003-05-25
AUDIO BULLYS FT NANCY SINATRA,SHOT YOU DOWN,SHOT YOU DOWN,"(4, 3, 4)",3,2005-05-29
AUDIOBULLYS,WE DON'T CARE,WE DONT CARE,"(2, 4, 4)",15,2003-01-12
AUDIOSLAVE,BE YOURSELF,BE YOURSELF,"(2, 8)",40,2005-06-12
AUDIOSLAVE,COCHISE,COCHISE,"(7,)",24,2003-01-26
AUDIOWEB,BANKROBBER,BANKROBBER,"(10,)",19,1997-02-09
AUDIOWEB,POLICEMAN SKANK...(THE STORY OF MY LIFE),POLICEMAN SKANK,"(9, 5)",21,1998-04-19
AUDREY HALL,ONE DANCE WON'T DO,ONE DANCE WONT DO,"(3, 5, 4, 2)",20,1986-02-09
AUDREY HALL,SMILE,SMILE,"(5,)",14,1986-07-06
AUF DER MAUR,FOLLOWED THE WAVES,FOLLOWED THE WAVES,"(8, 3, 5)",35,2004-02-22
AUF DER MAUR,REAL A LIE,REAL A LIE,"(4, 1, 3)",33,2004-05-09
AURORA,DREAMING,DREAMING,"(8,)",24,2002-04-07
AURORA,HALF THE WORLD AWAY,HALF THE WORLD AWAY,"(4, 3, 5, 4)",11,2015-11-13
AURORA,HEAR YOU CALLING,HEAR YOU CALLING,"(4, 3, 7)",17,2000-01-30
AURORA,RUNAWAY,RUNAWAY,"(7,)",25,2021-04-23
AURORA,THE DAY IT RAINED FOREVER,THE DAY IT RAINED FOREVER,"(3, 3, 2, 6, 7)",29,2002-06-30
AURORA FT NAIMEE COLEMAN,ORDINARY WORLD,ORDINARY WORLD,"(8, 5)",5,2000-09-17
AURRA,YOU AND ME TONIGHT,YOU AND ME TONIGHT,"(3, 3, 2, 7)",12,1986-04-13
AUSTIN MAHONE & PITBULL,MMM YEAH,MMM YEAH,"(3, 4)",34,2014-06-29
AUSTIN ROBERTS,ROCKY,ROCKY,"(5,)",22,1975-10-26
AUTOMATIC,MONSTER,MONSTER,"(7,)",4,2006-06-04
AUTOMATIC,RAOUL,RAOUL,"(5,)",30,2006-04-02
AUTOMATIC,RECOVER,RECOVER,"(7,)",25,2006-09-24
AUTOMATIC,STEVE MCQUEEN,STEVE MCQUEEN,"(5, 7)",16,2008-08-24
AUTUMN,MY LITTLE GIRL,MY LITTLE GIRL,"(2, 6, 4)",37,1971-10-17
AVA MAX,KINGS & QUEENS,KINGS  QUEENS,"(5, 0, 6)",19,2020-05-01
AVA MAX,MY HEAD & MY HEART,MY HEAD  MY HEART,"(2, 4, 0, 2, 5)",18,2021-02-12
AVA MAX,SO AM I,SO AM I,"(2, 2, 1)",13,2019-03-22
AVA MAX,SWEET BUT PSYCHO,SWEET BUT PSYCHO,"(5, 3, 6)",1,2018-11-16
AVALANCHES,FRONTIER PSYCHIATRIST,FRONTIER PSYCHIATRIST,"(8, 12)",18,2001-07-15
AVALANCHES,SINCE I LEFT YOU,SINCE I LEFT YOU,"(5, 1, 4, 3)",16,2001-04-01
AVICII,ADDICTED TO YOU,ADDICTED TO YOU,"(8, 2, 3)",14,2014-03-09
AVICII,HEAVEN,HEAVEN,"(6,)",20,2019-06-14
AVICII,HEY BROTHER,HEY BROTHER,"(3, 7)",2,2013-11-24
AVICII,LEVELS,LEVELS,"(6,)",4,2011-11-27
AVICII,SILHOUETTES,SILHOUETTES,"(11,)",22,2012-05-06
AVICII,THE NIGHTS,THE NIGHTS,"(3, 6)",6,2015-01-18
AVICII,WAITING FOR LOVE,WAITING FOR LOVE,"(7, 3, 4)",6,2015-07-17
AVICII,WAKE ME UP,WAKE ME UP,"(4, 2, 2)",1,2013-07-21
AVICII,YOU MAKE ME,YOU MAKE ME,"(3, 4, 2)",5,2013-09-22
AVICII FT ALOE BLACC,SOS,SOS,"(3,)",6,2019-04-19
AVICII FT RITA ORA,LONELY TOGETHER,LONELY TOGETHER,"(6, 8)",4,2017-09-01
AVICII FT SANDRO CAVAZZA,WITHOUT YOU,WITHOUT YOU,"(7, 3)",32,2017-08-18
AVICII VS NICKY ROMERO,I COULD BE THE ONE,I COULD BE THE ONE,"(1, 5, 2, 3, 3)",1,2013-02-17
AVONS,RUBBER BALL,RUBBER BALL,"(6, 4)",30,1961-01-26
AVONS,SEVEN LITTLE GIRLS SITTING IN THE BACK SEAT,SEVEN LITTLE GIRLS SITTING IN THE BACK SEAT,"(5, 6, 5, 7, 2, 3, 4, 4)",3,1959-11-13
AVRIL LAVIGNE,COMPLICATED,COMPLICATED,"(11,)",3,2002-09-29
AVRIL LAVIGNE,DON'T TELL ME,DONT TELL ME,"(4, 4, 2)",5,2004-05-16
AVRIL LAVIGNE,GIRLFRIEND,GIRLFRIEND,"(10,)",2,2007-03-25
AVRIL LAVIGNE,HE WASN'T,HE WASNT,"(2, 5)",23,2005-04-03
AVRIL LAVIGNE,HERE'S TO NEVER GROWING UP,HERES TO NEVER GROWING UP,"(5, 2, 5, 7, 2)",14,2013-07-21
AVRIL LAVIGNE,HOT,HOT,"(3,)",30,2007-11-04
AVRIL LAVIGNE,I'M WITH YOU,IM WITH YOU,"(2, 4, 3)",7,2003-04-06
AVRIL LAVIGNE,LOSING GRIP,LOSING GRIP,"(6, 4)",22,2003-07-13
AVRIL LAVIGNE,MY HAPPY ENDING,MY HAPPY ENDING,"(2, 5, 6)",5,2004-08-08
AVRIL LAVIGNE,NOBODY'S HOME,NOBODYS HOME,"(7, 4)",24,2004-11-21
AVRIL LAVIGNE,SK8ER BOI,SK8ER BOI,"(5, 3)",8,2002-12-22
AVRIL LAVIGNE,WHAT THE HELL,WHAT THE HELL,"(4, 3, 4)",16,2011-01-23
AVRIL LAVIGNE,WHEN YOU'RE GONE,WHEN YOURE GONE,"(4, 5, 4)",3,2007-06-17
AWESOME 3 FT JULIE MCDERMOTT,DON'T GO,DONT GO,"(4, 2)",27,1996-10-20
AWOLNATION,SAIL,SAIL,"(4,)",17,2013-11-10
AXWELL,FEEL THE VIBE (TIL THE MORNING COMES),FEEL THE VIBE,"(4, 3, 4)",16,2005-08-14
AXWELL & INGROSSO,MORE THAN YOU KNOW,MORE THAN YOU KNOW,"(4, 4, 3, 4)",30,2017-08-18
AXWELL & INGROSSO,SOMETHING NEW,SOMETHING NEW,"(9, 3)",22,2015-03-01
AXWELL FT MAX'C,I FOUND U,I FOUND U,"(1, 5, 1)",6,2007-08-12
AYLA,AYLA,AYLA,"(4,)",22,1999-08-29
AZ YET,HARD TO SAY I'M SORRY,HARD TO SAY IM SORRY,"(4, 2, 3, 2, 5)",7,1997-06-15
AZ YET,LAST NIGHT,LAST NIGHT,"(4, 5)",21,1997-02-23
AZEALIA BANKS FT LAZY JAY,212,212,"(3,)",12,2012-03-18
AZTEC CAMERA,ALL I NEED IS EVERYTHING/JUMP,ALL I NEED IS EVERYTHINGJUMP,"(3, 1, 4, 2, 14)",34,1984-09-02
AZTEC CAMERA,HOW MEN ARE,HOW MEN ARE,"(3, 3, 3)",25,1988-02-28
AZTEC CAMERA,OBLIVIOUS {1983 RE-RELEASE},OBLIVIOUS,"(9,)",18,1983-11-06
AZTEC CAMERA,SOMEWHERE IN MY HEART,SOMEWHERE IN MY HEART,"(9, 2, 2, 5)",3,1988-05-08
AZTEC CAMERA,WORKING IN A GOLDMINE,WORKING IN A GOLDMINE,"(7, 2, 1, 8)",31,1988-08-07
AZTEC CAMERA WITH MICK JONES,GOOD MORNING BRITAIN,GOOD MORNING BRITAIN,"(4, 7, 7)",19,1990-10-07
AZYMUTH,JAZZ CARNIVAL,JAZZ CARNIVAL,"(4, 8)",19,1980-01-13
AZZIDO DA BASS,DOOMS NIGHT,DOOMS NIGHT,"(5, 5)",8,2000-10-15
B BUMBLE AND THE STINGERS,NUT ROCKER {1972},NUT ROCKER,"(3, 6)",19,1972-06-11
B REAL/BUSTA RHYMES/COOLIO...,HIT 'EM HIGH (THE MONSTARS' ANTHEM),HIT EM HIGH,"(3, 2, 4)",8,1997-03-30
B TRAITS FT ELISABETH TROY,FEVER,FEVER,"(5,)",36,2012-04-01
B YOUNG,079ME,079ME,"(5,)",23,2018-07-27
B YOUNG,JUMANJI,JUMANJI,"(7,)",13,2018-02-09
B YOUNG,WINE,WINE,"(4,)",35,2020-02-21
B'WITCHED,BLAME IT ON THE WEATHERMAN,BLAME IT ON THE WEATHERMAN,"(5, 2, 2, 3, 10)",1,1999-03-21
B'WITCHED,C'EST LA VIE,CEST LA VIE,"(4, 2, 3)",1,1998-05-31
B'WITCHED,I SHALL BE THERE,I SHALL BE THERE,"(1, 5, 2, 5)",13,1999-12-12
B'WITCHED,JESSE HOLD ON,JESSE HOLD ON,"(5, 4, 2)",4,1999-10-10
B'WITCHED,JUMP DOWN,JUMP DOWN,"(4, 4)",16,2000-04-02
B'WITCHED,ROLLERCOASTER,ROLLERCOASTER,"(13,)",1,1998-09-27
B'WITCHED,TO YOU I BELONG,TO YOU I BELONG,"(2, 3, 1, 6)",1,1998-12-13
B-15 PROJECT FT CHRISSY D,GIRLS LIKE US,GIRLS LIKE US,"(5, 4, 2)",7,2000-06-11
B. BUMBLE AND THE STINGERS,NUT ROCKER,NUT ROCKER,"(3, 6)",1,1962-04-19
B.A. ROBERTSON,BANG BANG,BANG BANG,"(4, 4)",2,1979-08-05
B.A. ROBERTSON,KNOCKED IT OFF,KNOCKED IT OFF,"(7, 2, 3)",8,1979-11-04
B.A. ROBERTSON,KOOL IN THE KAFTAN,KOOL IN THE KAFTAN,"(4, 2, 3, 6)",17,1980-03-23
B.A. ROBERTSON,TO BE OR NOT TO BE,TO BE OR NOT TO BE,"(2, 2, 2, 3, 2, 2)",9,1980-06-08
B.A. ROBERTSON AND MAGGIE BELL,HOLD ME,HOLD ME,"(4, 2)",11,1981-10-11
B.B.E.,DEEPER LOVE (SYMPHONIC PARADISE),DEEPER LOVE,"(6, 4)",19,1998-05-24
B.B.E.,DESIRE,DESIRE,"(6,)",19,1998-02-08
B.B.E.,FLASH,FLASH,"(5,)",5,1997-03-23
B.B.E.,SEVEN DAYS AND ONE WEEK,SEVEN DAYS AND ONE WEEK,"(5, 4, 3, 3, 4)",3,1996-09-22
B.M.R FT FELICIA,CHECK IT OUT (EVERYBODY),CHECK IT OUT,"(5, 2, 3)",29,1999-04-25
B.M.U.,U WILL KNOW,U WILL KNOW,"(1, 4, 4)",23,1995-02-12
B.T. EXPRESS,EXPRESS,EXPRESS,"(7,)",34,1975-03-30
B.V.S.M.P.,I NEED YOU,I NEED YOU,"(1, 4, 3)",3,1988-07-24
B2K,GIRLFRIEND,GIRLFRIEND,"(10,)",10,2003-06-15
B2K,UH HUH,UH HUH,"(2, 3)",35,2002-08-18
B2K,UH HUH 2003,UH HUH 2003,"(2, 3, 4)",31,2003-10-12
B2K FT FABOLOUS,BADABOOM,BADABOOM,"(8,)",26,2004-03-14
B2K FT P. DIDDY,BUMP BUMP BUMP,BUMP BUMP BUMP,"(4, 4, 4)",11,2003-03-23
BAAUER,HARLEM SHAKE,HARLEM SHAKE,"(6, 5)",3,2013-02-17
BABE INSTINCT,DISCO BABES FROM OUTER SPACE,DISCO BABES FROM OUTER SPACE,"(5, 5, 4, 5, 5)",21,1999-01-10
BABY BIRD,GOODNIGHT,GOODNIGHT,"(9,)",28,1996-08-04
BABY BUMPS,BURNING,BURNING,"(7,)",17,1998-08-02
BABY BUMPS,I GOT THIS FEELING,I GOT THIS FEELING,"(1, 3, 4, 7)",22,2000-02-20
BABY D,I NEED YOUR LOVING (EVERYBODY'S GOT TO.),I NEED YOUR LOVING,"(1, 4, 4, 6)",3,1995-05-28
BABY D,LET ME BE YOUR FANTASY,LET ME BE YOUR FANTASY,"(3, 2, 2, 4, 7)",1,1994-11-13
BABY D,SO PURE,SO PURE,"(2, 4)",3,1996-01-07
BABY D,TAKE ME TO HEAVEN,TAKE ME TO HEAVEN,"(4, 2, 2, 6)",15,1996-03-31
BABYBIRD,BACK TOGETHER,BACK TOGETHER,"(4, 8)",22,1999-02-21
BABYBIRD,BAD OLD MAN,BAD OLD MAN,"(3, 3, 3)",31,1998-05-03
BABYBIRD,CANDY GIRL,CANDY GIRL,"(5, 4)",14,1997-01-26
BABYBIRD,CORNERSHOP,CORNERSHOP,"(10,)",37,1997-05-11
BABYBIRD,IF YOU'LL BE MINE,IF YOULL BE MINE,"(2, 5, 2, 4)",28,1998-08-16
BABYBIRD,THE F-WORD,THE FWORD,"(3, 5)",35,2000-03-19
BABYBIRD,YOU'RE GORGEOUS,YOURE GORGEOUS,"(5, 8)",3,1996-10-06
BABYFACE,EVERYTIME I CLOSE MY EYES,EVERYTIME I CLOSE MY EYES,"(9, 1, 5, 2, 4)",13,1997-03-02
BABYFACE,THIS IS FOR THE LOVER IN YOU,THIS IS FOR THE LOVER IN YOU,"(4, 2, 3, 3, 5, 2, 3)",12,1996-11-03
BABYFACE,WHEN CAN I SEE YOU,WHEN CAN I SEE YOU,"(4, 3, 1, 3, 3)",35,1994-09-25
BABYFACE FT STEVIE WONDER,"HOW COME, HOW LONG",HOW COME HOW LONG,"(3, 4, 3, 4)",10,1997-07-13
BABYLON ZOO,ANIMAL ARMY,ANIMAL ARMY,"(6, 4)",17,1996-04-21
BABYLON ZOO,SPACEMAN,SPACEMAN,"(8,)",1,1996-01-21
BABYLON ZOO,THE BOY WITH THE X-RAY EYES,THE BOY WITH THE XRAY EYES,"(3, 3, 4, 3, 4, 4)",32,1996-09-29
BABYSHAMBLES,ALBION,ALBION,"(6,)",8,2005-12-04
BABYSHAMBLES,DELIVERY,DELIVERY,"(8,)",6,2007-09-23
BABYSHAMBLES,FUCK FOREVER,FUCK FOREVER,"(4, 7)",4,2005-08-21
BABYSHAMBLES,JANIE JONES (STRUMMERVILLE),JANIE JONES,"(5, 5)",17,2006-11-05
BABYSHAMBLES,KILLAMANGIRO,KILLAMANGIRO,"(12,)",8,2004-12-05
BACCARA,SORRY I'M A LADY,SORRY IM A LADY,"(5, 2, 1, 4)",8,1978-01-15
BACCARA,YES SIR I CAN BOOGIE,YES SIR I CAN BOOGIE,"(3, 3, 1, 3, 6)",1,1977-09-25
BACHELORS,TRUE LOVE FOR EVERMORE,TRUE LOVE FOR EVERMORE,"(4, 4, 3, 8)",34,1965-04-22
BACHELORS,WALK WITH FAITH IN YOUR HEART,WALK WITH FAITH IN YOUR HEART,"(4, 4, 5, 2, 4, 5)",26,1967-01-12
BACHMAN-TURNER OVERDRIVE,ROLL ON DOWN THE HIGHWAY,ROLL ON DOWN THE HIGHWAY,"(4, 2, 4, 3, 7)",22,1975-02-02
BACHMAN-TURNER OVERDRIVE,YOU AIN'T SEEN NOTHING YET,YOU AINT SEEN NOTHING YET,"(3, 4, 4, 7, 3)",2,1974-11-10
BACKSTREET BOYS,ALL I HAVE TO GIVE,ALL I HAVE TO GIVE,"(3, 1, 4, 2, 4)",2,1998-02-08
BACKSTREET BOYS,ANYWHERE FOR YOU,ANYWHERE FOR YOU,"(8, 3, 3)",4,1997-03-23
BACKSTREET BOYS,AS LONG AS YOU LOVE ME,AS LONG AS YOU LOVE ME,"(2, 4, 2, 3, 4, 2)",3,1997-10-05
BACKSTREET BOYS,DROWNING,DROWNING,"(8,)",4,2002-01-06
BACKSTREET BOYS,EVERYBODY (BACKSTREET'S BACK),EVERYBODY,"(9,)",3,1997-07-27
BACKSTREET BOYS,GET DOWN (YOU'RE THE ONE FOR ME),GET DOWN,"(3, 4)",14,1996-05-26
BACKSTREET BOYS,I WANT IT THAT WAY,I WANT IT THAT WAY,"(1, 4, 2, 4, 3)",1,1999-05-09
BACKSTREET BOYS,I'LL NEVER BREAK YOUR HEART,ILL NEVER BREAK YOUR HEART,"(3, 5, 5, 4, 5)",8,1996-11-10
BACKSTREET BOYS,INCOMPLETE,INCOMPLETE,"(10,)",8,2005-07-03
BACKSTREET BOYS,INCONSOLABLE,INCONSOLABLE,"(12,)",24,2007-10-28
BACKSTREET BOYS,JUST WANT YOU TO KNOW,JUST WANT YOU TO KNOW,"(4, 4, 3, 2, 4)",8,2005-10-30
BACKSTREET BOYS,LARGER THAN LIFE,LARGER THAN LIFE,"(6, 4, 4)",5,1999-10-24
BACKSTREET BOYS,MORE THAN THAT,MORE THAN THAT,"(4, 4, 4)",12,2001-07-01
BACKSTREET BOYS,QUIT PLAYING GAMES [WITH MY HEART],QUIT PLAYING GAMES WITH MY HEART,"(4, 7, 5, 4, 2, 5)",2,1997-01-12
BACKSTREET BOYS,SHAPE OF MY HEART,SHAPE OF MY HEART,"(5, 2, 2, 5)",4,2000-11-12
BACKSTREET BOYS,SHOW ME THE MEANING OF BEING LONELY,SHOW ME THE MEANING OF BEING LONELY,"(4, 2, 3, 7, 2, 5, 6)",3,2000-02-27
BACKSTREET BOYS,THE CALL,THE CALL,"(3, 4)",8,2001-02-18
BACKSTREET BOYS,THE ONE,THE ONE,"(3, 3)",8,2000-06-18
BACKSTREET BOYS,WE'VE GOT IT GOIN' ON,WEVE GOT IT GOIN ON,"(4, 3, 2, 4, 2)",3,1996-08-18
BACKYARD DOG,BADDEST RUFFEST,BADDEST RUFFEST,"(7, 7)",15,2001-07-01
BAD BOY CHILLER CREW,BMW,BMW,"(3,)",9,2022-02-25
BAD BOY CHILLER CREW,DON'T YOU WORRY ABOUT ME,DONT YOU WORRY ABOUT ME,"(4, 3, 5, 5, 2)",31,2021-05-07
BAD BOYS INC,DON'T TALK ABOUT LOVE,DONT TALK ABOUT LOVE,"(4, 4, 5, 4)",19,1993-08-08
BAD BOYS INC,WHENEVER YOU NEED SOMEONE,WHENEVER YOU NEED SOMEONE,"(8, 3, 4, 7)",26,1993-09-26
BAD BOYS INC.,LOVE HERE I COME (REMIX),LOVE HERE I COME,"(4, 4, 1, 4)",26,1994-09-11
BAD BOYS INC.,MORE TO THIS WORLD,MORE TO THIS WORLD,"(4, 2, 4, 5)",8,1994-05-15
BAD BOYS INC.,TAKE ME AWAY (I'LL FOLLOW YOU),TAKE ME AWAY,"(4, 2, 4)",15,1994-07-17
BAD BOYS INC.,WALKING ON AIR,WALKING ON AIR,"(7, 2, 3)",24,1993-12-05
BAD BUNNY FT DRAKE,MIA,MIA,"(3,)",13,2018-10-19
BAD COMPANY,CAN'T GET ENOUGH,CANT GET ENOUGH,"(4, 3, 6)",15,1974-06-02
BAD COMPANY,FEEL LIKE MAKIN' LOVE,FEEL LIKE MAKIN LOVE,"(4, 4, 5, 4)",20,1975-08-31
BAD COMPANY,GOOD LOVIN' GONE BAD,GOOD LOVIN GONE BAD,"(4, 5, 4, 3)",31,1975-03-23
BAD COMPANY UK/RAWHILL CRU,MO' FIRE,MO FIRE,"(2, 4)",24,2003-03-09
BAD MANNERS,BUONA SERA (DON'T BE ANGRY),BUONA SERA,"(5, 4)",34,1981-11-22
BAD MANNERS,CAN CAN,CAN CAN,"(3, 3)",3,1981-06-21
BAD MANNERS,JUST A FEELING,JUST A FEELING,"(4, 1, 7)",13,1981-03-29
BAD MANNERS,LIP UP FATTY,LIP UP FATTY,"(3, 2, 5)",15,1980-06-29
BAD MANNERS,LORRAINE,LORRAINE,"(8,)",21,1980-12-07
BAD MANNERS,MY GIRL LOLLIPOP (MY BOY LOLLIPOP),MY GIRL LOLLIPOP,"(2, 4, 8)",9,1982-08-01
BAD MANNERS,NE-NE NA-NA NA-NA NU-NU,NENE NANA NANA NUNU,"(4, 4, 4, 4)",28,1980-03-23
BAD MANNERS,SPECIAL BREW,SPECIAL BREW,"(7, 4)",3,1980-10-05
BAD MANNERS,WALKIN' IN THE SUNSHINE,WALKIN IN THE SUNSHINE,"(6, 2, 3, 8)",10,1981-09-27
